[04/Apr/2016:00:54:21] (nt-request) Test message1
[04/Apr/2016:00:54:21] (nt-request) Test message2
[04/Apr/2016:00:54:21] (nt-request) Test message3
[04/Apr/2016:00:54:31] (nt-request) Test message1
[04/Apr/2016:00:54:31] (nt-request) Test message2
[04/Apr/2016:00:54:31] (nt-request) Test message3
[04/Apr/2016:00:54:54] (nt-request) Test message1
[04/Apr/2016:00:54:54] (nt-request) Test message2
[04/Apr/2016:00:54:54] (nt-request) Test message3
04/Apr/2016 02:48:08 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 02:48:08 | ::1 | nt-request | SUCCESS
04/Apr/2016 02:48:09 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 02:48:09 | ::1 | nt-request | SUCCESS
04/Apr/2016 03:03:09 | ::1 | nt-request | GET h=
04/Apr/2016 03:03:09 | ::1 | nt-request | ERROR. Request without host
04/Apr/2016 03:03:09 | ::1 | nt-request | ERROR. Request without tool
04/Apr/2016 03:03:09 | ::1 | nt-request | ERROR. Request without options
04/Apr/2016 03:03:54 | ::1 | nt-request | GET h=
04/Apr/2016 03:03:54 | ::1 | nt-request | ERROR. Request without host
04/Apr/2016 03:03:54 | ::1 | nt-request | ERROR. Request without tool
04/Apr/2016 03:03:54 | ::1 | nt-request | ERROR. Request without options
04/Apr/2016 03:05:06 | ::1 | nt-request | GET h= c= a=
04/Apr/2016 03:05:06 | ::1 | nt-request | ERROR. Request without host
04/Apr/2016 03:05:06 | ::1 | nt-request | ERROR. Request without options
04/Apr/2016 09:46:43 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 09:46:43 | ::1 | nt-request | SUCCESS
04/Apr/2016 09:47:20 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 09:47:20 | ::1 | nt-request | SUCCESS
04/Apr/2016 09:47:23 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 09:47:23 | ::1 | nt-request | SUCCESS
04/Apr/2016 09:47:30 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 09:47:30 | ::1 | nt-request | SUCCESS
04/Apr/2016 09:47:35 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 09:47:35 | ::1 | nt-request | SUCCESS
04/Apr/2016 09:48:07 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 09:48:07 | ::1 | nt-request | SUCCESS
04/Apr/2016 09:48:14 | ::1 | nt-request | GET h=i.ua c=0 a=-c 5 -s 32
04/Apr/2016 09:48:14 | ::1 | nt-request | SUCCESS
04/Apr/2016 09:48:22 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 09:48:22 | ::1 | nt-request | SUCCESS
04/Apr/2016 09:50:01 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 09:50:01 | ::1 | nt-request | SUCCESS
04/Apr/2016 09:50:14 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 09:50:14 | ::1 | nt-request | SUCCESS
04/Apr/2016 09:52:54 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 09:52:54 | ::1 | nt-request | SUCCESS
04/Apr/2016 09:53:01 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 09:53:01 | ::1 | nt-request | SUCCESS
04/Apr/2016 09:53:05 | ::1 | nt-request | GET h=
04/Apr/2016 09:53:05 | ::1 | nt-request | ERROR. Request without host
04/Apr/2016 09:53:10 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 09:53:10 | ::1 | nt-request | SUCCESS
04/Apr/2016 09:53:16 | ::1 | nt-request | GET h= c= a=-q=
04/Apr/2016 09:53:16 | ::1 | nt-request | ERROR. Request without host
04/Apr/2016 09:53:49 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 09:53:49 | ::1 | nt-request | SUCCESS
04/Apr/2016 10:01:45 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 10:01:45 | ::1 | nt-request | SUCCESS
04/Apr/2016 10:03:13 | ::1 | nt-request | GET h=i.ua c=0 a=-c 5 -s 32
04/Apr/2016 10:03:13 | ::1 | nt-request | SUCCESS
04/Apr/2016 10:03:22 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 10:03:22 | ::1 | nt-request | SUCCESS
04/Apr/2016 10:03:27 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 10:03:27 | ::1 | nt-request | SUCCESS
04/Apr/2016 10:04:09 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 10:04:09 | ::1 | nt-request | SUCCESS
04/Apr/2016 10:04:47 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 10:04:48 | ::1 | nt-request | SUCCESS
04/Apr/2016 10:15:12 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 10:15:12 | ::1 | nt-request | SUCCESS
